TSV:	2026-03-31	00:00	international friendlies	China PR U20 (—) vs Australia U20 (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Morocco U18 (—) vs Iceland U19 (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Chile U20 (—) vs Peru U20 (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Norway (—) vs Switzerland (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Hungary (—) vs Greece (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	South Africa (—) vs Panama (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Egypt U20 (—) vs Algeria U20 (—)	Over 25 (FT)	7.0	EXPLOSION [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	India U17 (—) vs Korea Republic U17 (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Scotland (—) vs Ivory Coast (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Rep. Of Ireland (—) vs FYR Macedonia (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Ukraine (—) vs Albania (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Wales (—) vs Northern Ireland (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-31	00:00	primera división paraguay	Libertad Asuncion (1) vs Deportivo Recoleta (7)	Over 25 (FT)	6.0	TRÈS FORT [R:1-7]	—
TSV:	2026-03-31	00:00	uefa wc qualifiers	Czech Republic (—) vs Denmark (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-31	00:00	uefa wc qualifiers	Sweden (—) vs Poland (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Croatia U18 (—) vs England U18 (—)	Over 25 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Niger (—) vs Togo (—)	Over 25 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Haiti (—) vs Iceland (—)	Over 25 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Jordan (—) vs Nigeria (—)	Over 25 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Austria (—) vs South Korea (—)	Over 25 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Slovakia (—) vs Romania (—)	Over 25 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Brazil U20 (—) vs Paraguay U20 (—)	Over 25 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Spain (—) vs Egypt (—)	Over 25 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	China PR U23 (—) vs Vietnam U23 (—)	Over 25 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	India U23 (—) vs Tajikistan U23 (—)	Over 25 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	San Marino (—) vs Andorra (—)	Over 25 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	England (—) vs Japan (—)	Over 25 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-31	00:00	international friendlies	Senegal (—) vs Gambia (—)	Over 25 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-31	00:00	primera a colombia	Independiente Medellin (1) vs America de Cali (8)	Over 25 (FT)	4.0	FORT [R:1-8]	—
TSV:	2026-03-31	00:00	uefa wc qualifiers	Kosovo (—) vs Türkiye (—)	Over 25 (FT)	4.0	FORT [R:—-—]	—
