variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,worst_streak,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_streak,safe_dbl,score
2727,2.8,2.2,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4745,0.0597,21.09,2.86,6.2419,0.0,6.0,2.86,4.62,0.0,7.157,1.5776,2.0,2.86,1.88,2.4324
2079,2.8,1.8,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5012,0.0659,21.49,2.88,6.354,0.0,5.0,2.88,4.5757,0.0,6.775,1.7453,1.0,2.88,1.85,2.4282
2151,2.8,1.8,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.488,0.0576,21.55,2.97,6.1967,0.0,7.0,2.97,4.4962,0.0,7.372,1.7895,1.0,2.97,1.85,2.3845
2439,2.8,2.0,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4955,0.0556,21.61,2.94,6.1618,0.0,4.0,2.94,4.4488,0.0,6.938,1.9136,0.0,2.94,1.77,2.3731
2475,2.8,2.0,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4876,0.062,21.58,2.92,5.9201,0.0,7.0,2.92,4.4103,0.0,6.599,1.8199,1.0,2.92,1.75,2.3414
2403,2.8,2.0,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4863,0.0605,21.53,2.94,6.0312,0.0,10.0,2.94,4.4043,0.0,6.6,1.8211,2.0,2.94,1.77,2.328
2394,2.8,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4942,0.0605,21.51,2.92,5.9038,0.0,7.0,2.92,4.3425,0.0,6.69,1.8563,1.0,2.92,1.72,2.3095
2763,2.8,2.2,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.462,0.0584,20.9,3.01,5.6709,0.0,9.0,3.01,4.3382,0.0,6.987,1.784,2.0,3.01,1.79,2.2877
2430,2.8,2.0,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4643,0.0667,21.43,2.91,5.7022,0.0,5.0,2.91,4.3327,0.0,6.674,1.6207,1.0,2.91,1.8,2.2956
2070,2.8,1.8,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4955,0.0499,21.67,3.12,5.6534,0.0,13.0,3.12,4.3265,0.0,7.29,1.8784,2.0,3.12,1.75,2.2919
2115,2.8,1.8,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4949,0.0636,21.71,2.95,5.7028,0.0,8.0,2.95,4.311,0.0,7.237,1.9345,0.0,2.95,1.83,2.304
2718,2.8,2.2,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4739,0.0686,21.01,2.9,5.6826,0.0,6.0,2.9,4.2967,0.0,6.69,1.8885,0.0,2.9,1.75,2.2905
2730,2.8,2.2,0.65,10,4,2,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4421,0.0663,19.15,3.05,4.777,0.0,10.0,3.05,4.099,0.0,6.629,1.6931,1.0,3.05,1.78,2.1721
1467,2.6,2.0,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5002,0.0548,22.03,3.04,4.9822,0.0,7.0,3.04,4.091,0.0,6.321,1.662,1.0,3.04,1.71,2.1856
2799,2.8,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4533,0.0606,20.85,3,5.4781,0.0,6.0,3,4.0895,0.0,7.283,2.0072,2.0,3,1.66,2.1607
1431,2.6,2.0,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5047,0.06,21.75,2.89,5.1762,0.0,6.0,2.89,4.0252,0.0,6.131,1.6431,3.0,2.89,1.7,2.134
1107,2.6,1.8,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5058,0.0692,22.35,3.05,5.0216,0.0,10.0,3.05,4.0116,0.0,6.399,1.7993,2.0,3.05,1.67,2.1375
2466,2.8,2.0,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4541,0.0548,21.38,3.02,5.1127,0.0,4.0,3.02,4.0029,0.0,6.104,1.769,0.0,3.02,1.65,2.1377
1827,2.6,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4889,0.061,21.23,2.93,5.1725,0.0,6.0,2.93,3.9988,0.0,6.791,1.6793,1.0,2.93,1.69,2.1361
1179,2.6,1.8,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5081,0.0654,21.89,2.88,4.8259,0.0,6.0,2.88,3.9864,0.0,6.472,1.5091,1.0,2.88,1.72,2.1356
2395,2.8,2.0,0.65,10,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4583,0.0707,20.33,3.35,4.3824,0.0,23.0,3.22,3.9694,0.0,7.046,1.6969,4.0,3.23,1.63,2.0822
2142,2.8,1.8,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.456,0.0671,21.55,3.11,4.9391,0.0,8.0,3.11,3.9641,0.0,6.556,1.8472,2.0,3.11,1.65,2.0989
2790,2.8,2.2,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4448,0.0718,20.8,3.2,4.9697,0.0,13.0,3.2,3.963,0.0,7.598,2.0396,1.0,3.19,1.62,2.1049
1180,2.6,1.8,0.65,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4848,0.0739,22.07,3.39,4.2451,0.0,26.0,3.14,3.9401,0.0,6.62,1.423,5.0,3.11,1.64,2.0655
171,2.4,1.8,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5344,0.0658,22.34,2.83,4.922,0.0,4.0,2.83,3.9266,0.0,5.288,1.4176,2.0,2.83,1.74,2.1036
1422,2.6,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5025,0.0592,21.85,2.98,4.8493,0.0,6.0,2.98,3.92,0.0,5.627,1.6234,2.0,2.98,1.68,2.0907
