variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,worst_streak,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_streak,safe_dbl,score
392,3.2,2.0,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4773,0.057,21.22,2.95,7.2196,0.0,7.0,2.95,4.9918,0.0,7.852,1.8734,0.0,2.95,1.94,2.6391
382,3.2,2.0,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4672,0.051,21.13,3.03,7.2124,0.0,7.0,3.03,4.9645,0.0,8.764,1.9087,1.0,3.03,1.92,2.6124
192,3.0,1.8,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.5102,0.0621,21.3,2.88,7.3564,0.0,4.0,2.88,4.908,0.0,7.839,1.7772,1.0,2.88,1.94,2.5971
346,3.2,1.8,0.65,12,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4422,0.0587,21.09,2.98,7.0213,0.0,7.0,2.98,4.9053,0.0,8.002,1.7272,2.0,2.98,1.93,2.5653
381,3.2,2.0,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4865,0.0566,21.16,2.98,6.8576,0.0,5.0,2.98,4.9038,0.0,7.578,1.7856,0.0,2.98,1.99,2.5979
331,3.2,1.8,0.65,10,4,1,4,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4586,0.0578,20.58,2.94,7.0503,0.0,3.0,2.94,4.8894,0.0,7.908,1.8564,0.0,2.94,1.88,2.5823
354,3.2,1.8,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4934,0.0599,20.81,2.97,7.1098,0.0,3.0,2.97,4.8856,0.0,7.45,1.7854,2.0,2.97,1.98,2.5708
282,3.0,2.2,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4823,0.0558,20.33,2.77,6.6314,0.0,5.0,2.77,4.865,0.0,7.456,1.1695,0.0,2.77,1.93,2.5772
221,3.0,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4823,0.0565,21.23,2.9,6.9704,0.0,3.0,2.9,4.852,0.0,7.379,1.7351,1.0,2.9,1.92,2.5607
336,3.2,1.8,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.485,0.0512,20.84,2.99,7.0122,0.0,5.0,2.99,4.838,0.0,8.144,1.9226,1.0,2.99,1.89,2.5545
465,3.2,2.2,0.65,12,4,2,4,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4613,0.0543,20.23,3,6.8578,0.0,8.0,3,4.8179,0.0,8.316,1.8375,1.0,3,1.9,2.5373
410,3.2,2.0,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4817,0.0571,21.28,3.04,6.7512,0.0,12.0,3.04,4.8138,0.0,7.684,1.9747,2.0,3.04,1.99,2.5314
373,3.2,1.8,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4795,0.0583,21.13,3.02,6.796,0.0,10.0,3.02,4.8028,0.0,8.249,2.0095,2.0,3.02,1.91,2.5253
391,3.2,2.0,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4751,0.0569,21.2,3,6.9978,0.0,7.0,3,4.7951,0.0,7.829,1.9747,1.0,3,1.94,2.5301
194,3.0,1.8,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4916,0.0569,21.51,2.87,6.9046,0.0,5.0,2.87,4.7884,0.0,7.982,1.8694,0.0,2.87,1.9,2.5417
86,2.8,2.0,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5046,0.0601,21.53,2.79,6.594,0.0,5.0,2.79,4.7606,0.0,7.131,1.3739,1.0,2.79,1.93,2.5217
212,3.0,1.8,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5052,0.0671,21.22,2.87,6.8639,0.0,4.0,2.87,4.756,0.0,7.339,1.8025,0.0,2.87,1.95,2.5296
482,3.2,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4463,0.0478,20.38,3.02,6.6631,0.0,5.0,3.02,4.7517,0.0,8.673,1.7759,0.0,3.02,1.85,2.5097
274,3.0,2.2,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4535,0.054,20.53,2.98,6.5488,0.0,5.0,2.98,4.7454,0.0,7.545,1.5794,0.0,2.98,1.86,2.5088
8,2.8,1.8,0.65,10,4,1,4,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4695,0.0671,20.74,2.8,6.4705,0.0,4.0,2.8,4.7334,0.0,6.434,1.285,0.0,2.8,1.94,2.5075
166,3.0,1.8,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4862,0.0631,21.6,3,6.6648,0.0,5.0,3,4.7294,0.0,7.381,1.9941,1.0,3,1.89,2.5006
228,3.0,2.0,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4918,0.0541,21.2,2.96,6.7038,0.0,4.0,2.96,4.7248,0.0,6.946,1.7564,1.0,2.96,1.88,2.4999
390,3.2,2.0,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4858,0.0607,21.25,3,7.0477,0.0,8.0,3,4.7244,0.0,7.744,2.204,0.0,3,1.9,2.5079
277,3.0,2.2,0.65,10,4,1,4,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4585,0.0656,20.64,2.94,6.5467,0.0,3.0,2.94,4.7188,0.0,7.434,1.6267,0.0,2.94,1.85,2.497
67,2.8,2.0,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4999,0.0544,22.02,3,6.8696,0.0,3.0,3,4.7149,0.0,7.776,1.9561,3.0,3,1.88,2.4774
112,2.8,2.2,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4526,0.0545,21.09,2.96,6.1474,0.0,12.0,2.96,4.703,0.0,6.835,1.4625,1.0,2.96,1.91,2.4773
